	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV15050	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	NA	NA
ASV15051	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15052	Bacteria	NA	NA	NA	NA	NA	NA
ASV15054	Bacteria	NA	NA	NA	NA	NA	NA
ASV15055	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerocolumna	NA
ASV15056	Bacteria	Firmicutes	Clostridia	Oscillospirales	NA	NA	NA
ASV15057	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV15058	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV15059	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
ASV15060	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	NA	NA	NA
ASV15061	Bacteria	Verrucomicrobiota	Kiritimatiellae	Kiritimatiellales	Kiritimatiellaceae	NA	NA
ASV15062	Bacteria	Cyanobacteria	Cyanobacteriia	NA	NA	NA	NA
ASV15063	Bacteria	NA	NA	NA	NA	NA	NA
ASV15064	Bacteria	NA	NA	NA	NA	NA	NA
ASV15066	Bacteria	Patescibacteria	Gracilibacteria	Candidatus_Peregrinibacteria	NA	NA	NA
ASV15067	Bacteria	NA	NA	NA	NA	NA	NA
ASV15068	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	SCGC_AAA011-D5	NA	NA
ASV15069	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	NA
ASV15070	Bacteria	Proteobacteria	Alphaproteobacteria	Kiloniellales	Kiloniellaceae	NA	NA
ASV15071	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV15072	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	NA	NA
